1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
5.4.99.27	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)
5.5.1.2	"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2) (3-carboxymuconate lactonizing enzyme) (CMLE)"
5.3.2.8	4-oxalomesaconate tautomerase (EC 5.3.2.8) (Gallate degradation protein D)
5.3.3.14	Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)
5.4.3.3	"L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)"
5.1.3.26	"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase (EC 5.1.3.26) (GlcNAc-P-P-Und 4-epimerase)"
5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
6.5.1.2	DNA ligase A (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
6.3.2.n2	Pup--protein ligase (EC 6.3.2.n2) (Proteasome accessory factor A) (Pup-conjugating enzyme)
6.3.3.2	"5-formyltetrahydrofolate cyclo-ligase (5-FCL) (EC 6.3.3.2) (5,10-methenyltetrahydrofolate synthetase) (MTHFS)"
6.5.1.1	DNA ligase C1 (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])
6.1.1.1	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)
6.4.1.1	PycA pyruvate carboxylase subunit A
6.2.1.18	ccsB citryl-CoA synthetase small subunit
6.3.1.12	D-aspartate ligase (EC 6.3.1.12) (Asl(fm)) (UDP-MurNAc-pentapeptide:D-aspartate ligase)
6.3.3.3	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)
6.3.4.20	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)
6.1.1.17	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
6.2.1.3	Long-chain-fatty-acid--CoA ligase FadD15 (FACL) (EC 6.2.1.3) (Acyl-CoA synthetase)
6.3.4.18	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)
6.3.5.7	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
6.1.1.11	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
6.1.1.10	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
6.1.1.23	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)
6.1.1.7	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
6.1.1.18	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)
6.3.1.1	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)
6.3.5.2	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)
6.3.2.3	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)
6.3.4.15	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)
6.3.2.4	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)
6.3.1.2	Glutamine synthetase (EC 6.3.1.2) (Glutamate--ammonia ligase)
6.3.4.5	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
6.3.5.5	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)
6.3.4.4	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
6.2.1.5	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)
6.1.1.3	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)
6.1.1.6	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
6.4.1.2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)
6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)
6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)
6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)
6.3.4.21	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)
6.1.1.2	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)
6.1.1.12	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)
6.3.5.4	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)
6.3.2.13	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"
6.6.1.1	Magnesium-chelatase 38 kDa subunit (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)
6.3.5.11	"Cobyrinate a,c-diamide synthase (EC 6.3.5.11) (Cobyrinic acid a,c-diamide synthetase) [Cleaved into: Cobyrinate a,c-diamide synthase, N-terminally processed]"
6.3.2.1	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)
6.2.1.26	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)
6.3.4.19	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)
6.3.2.45	"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)"
6.2.1.1	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)
6.1.1.13	D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13) (D-alanine-D-alanyl carrier protein ligase) (DCL) (D-alanine-activating enzyme) (DAE)
6.3.2.28	Alanine-anticapsin ligase BacD (EC 6.3.2.28) (Bacilysin synthetase) (L-amino acid ligase)
6.5.1.4	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4)
6.1.1.5	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
6.2.1.30	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)
6.3.2.2	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)
6.3.1.11	Gamma-glutamylputrescine synthetase PuuA (Gamma-Glu-Put synthetase) (EC 6.3.1.11) (Glutamate--putrescine ligase)
6.2.1.41	"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase (HIP:CoA ligase) (EC 6.2.1.41)"
6.2.1.20	Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM (EC 6.2.1.20) (Fatty acyl-[acyl-carrier-protein] synthetase) (Fatty acyl-ACP synthetase) (Mycobactin synthetase protein M)
6.4.1.3	Probable propionyl-CoA carboxylase beta chain 5 (PCCase) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase)
6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7) (L-lysine-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:L-Lys ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)
6.1.1.20	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
6.2.1.44	3-methylmercaptopropionyl-CoA ligase (MMPA-CoA ligase) (EC 6.2.1.44) (Acyl-CoA ligase)
6.4.1.8	Acetophenone carboxylase alpha subunit (EC 6.4.1.8) (Acetophenone carboxylase 70 kDa subunit)
6.3.2.43	Alpha-aminoadipate--LysW ligase LysX (AAA--LysW ligase LysX) (EC 6.3.2.43)
6.1.1.15	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
6.2.1.n2	Amino acid--[acyl-carrier-protein] ligase (EC 6.2.1.n2) (Amino acid:[carrier-protein] ligase [AMP forming]) (aa:CP ligase) (Aminoacyl-[acyl-carrier-protein] synthetase) (L-alanine:[acyl-carrier-protein] ligase) (L-glycine:[acyl-carrier-protein] ligase) (L-serine:[acyl-carrier-protein] ligase)
6.4.1.6	Acetone carboxylase gamma subunit (EC 6.4.1.6)
6.2.1.32	Anthranilate--CoA ligase (EC 6.2.1.32)
6.1.1.19	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
